flight_id,flight_date,airline_code,airline_name,flight_number,origin,destination,domestic,distance_km,aircraft_type,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay_min,arrival_delay_min,delay_reason,cancelled,traveller_class,seats_booked,load_factor
1,2024-01-01,BS,US-Bangla Airlines,BS882,CCU,DAC,False,239.2,Boeing 737-800,2024-01-01T19:10:00,2024-01-01T19:16:00,2024-01-01T19:40:00,2024-01-01T19:40:00,6.0,0.0,None,False,Economy,192,0.55
2,2024-01-01,VQ,NovoAir,VQ655,CXB,CGP,True,90.0,Airbus A320,2024-01-01T06:45:00,2024-01-01T06:45:00,2024-01-01T07:15:00,2024-01-01T07:15:00,0.0,0.0,None,False,Economy,112,0.56
3,2024-01-01,BG,Biman Bangladesh Airlines,BG827,DAC,DXB,False,3536.8,Boeing 737-800,2024-01-01T09:10:00,2024-01-01T09:10:00,2024-01-01T13:52:56.640000,2024-01-01T13:57:56.640000,0.0,5.0,None,False,Premium Economy,250,0.71
4,2024-01-01,2A,Air Astra,2A895,BKK,DAC,False,1567.8,Boeing 787-8,2024-01-01T16:55:00,2024-01-01T16:55:00,2024-01-01T19:00:25.440000,2024-01-01T19:00:25.440000,0.0,0.0,None,False,Economy,309,0.88
5,2024-01-01,BS,US-Bangla Airlines,BS712,CGP,CXB,True,90.0,Airbus A320,2024-01-01T21:35:00,2024-01-01T21:49:00,2024-01-01T22:05:00,2024-01-01T22:14:00,14.0,9.0,Late Aircraft,False,Economy,61,0.3
6,2024-01-01,VQ,NovoAir,VQ810,DAC,BZL,True,116.3,Boeing 737-800,2024-01-01T13:00:00,2024-01-01T13:03:00,2024-01-01T13:30:00,2024-01-01T13:34:00,3.0,4.0,None,False,Economy,109,0.55
7,2024-01-01,MH,Malaysia Airlines,MH353,DEL,DAC,False,1425.3,Airbus A320,2024-01-01T07:40:00,,2024-01-01T09:34:01.440000,,,,Weather,True,Economy,173,0.49
8,2024-01-01,VQ,NovoAir,VQ376,CGP,CXB,True,90.0,Boeing 737-800,2024-01-01T05:55:00,2024-01-01T05:56:00,2024-01-01T06:25:00,2024-01-01T06:25:00,1.0,0.0,None,False,Economy,123,0.61
9,2024-01-01,MH,Malaysia Airlines,MH492,KUL,DAC,False,2642.3,Airbus A320,2024-01-01T15:25:00,2024-01-01T15:29:00,2024-01-01T18:56:23.040000,2024-01-01T18:58:23.040000,4.0,2.0,None,False,Business,132,0.38
10,2024-01-01,VQ,NovoAir,VQ543,DAC,CXB,True,310.7,Boeing 737-800,2024-01-01T09:00:00,2024-01-01T09:01:00,2024-01-01T09:30:00,2024-01-01T09:32:00,1.0,2.0,None,False,Business,155,0.78
11,2024-01-01,QR,Qatar Airways,QR960,BKK,DAC,False,1567.8,Boeing 737-800,2024-01-01T07:55:00,2024-01-01T07:55:00,2024-01-01T10:00:25.440000,2024-01-01T10:00:25.440000,0.0,0.0,None,False,Economy,166,0.47
12,2024-01-01,BG,Biman Bangladesh Airlines,BG259,DAC,RJH,True,192.5,Bombardier Dash 8-Q400,2024-01-01T16:05:00,2024-01-01T16:08:00,2024-01-01T16:35:00,2024-01-01T16:37:00,3.0,2.0,None,False,Economy,124,0.62
13,2024-01-01,2A,Air Astra,2A376,CXB,DAC,True,310.7,Airbus A320,2024-01-01T08:45:00,2024-01-01T10:35:00,2024-01-01T09:15:00,2024-01-01T11:06:00,110.0,111.0,Weather,False,Economy,82,0.41
14,2024-01-01,VQ,NovoAir,VQ664,DAC,SPD,True,260.9,Boeing 737-800,2024-01-01T20:40:00,2024-01-01T21:13:00,2024-01-01T21:10:00,2024-01-01T21:38:00,33.0,28.0,Late Aircraft,False,Economy,99,0.49
15,2024-01-01,VQ,NovoAir,VQ630,SPD,DAC,True,260.9,Boeing 737-800,2024-01-01T11:10:00,2024-01-01T11:36:00,2024-01-01T11:40:00,2024-01-01T12:08:00,26.0,28.0,Late Aircraft,False,Economy,62,0.31
16,2024-01-01,TG,Thai Airways,TG472,SIN,DAC,False,2896.7,ATR 72-600,2024-01-01T07:30:00,2024-01-01T08:31:00,2024-01-01T11:21:44.160000,2024-01-01T12:43:44.160000,61.0,82.0,Late Aircraft,False,Economy,211,0.6
17,2024-01-01,QR,Qatar Airways,QR900,CCU,DAC,False,239.2,Boeing 737-800,2024-01-01T05:05:00,2024-01-01T05:05:00,2024-01-01T05:35:00,2024-01-01T05:35:00,0.0,0.0,None,False,Premium Economy,146,0.42
18,2024-01-01,BG,Biman Bangladesh Airlines,BG545,ZYL,DAC,True,194.0,ATR 72-600,2024-01-01T05:00:00,2024-01-01T05:07:00,2024-01-01T05:30:00,2024-01-01T05:30:00,7.0,0.0,None,False,Business,109,0.55
19,2024-01-01,QR,Qatar Airways,QR434,DAC,DEL,False,1425.3,ATR 72-600,2024-01-01T14:10:00,2024-01-01T14:10:00,2024-01-01T16:04:01.440000,2024-01-01T16:10:01.440000,0.0,6.0,None,False,Economy,203,0.58
20,2024-01-01,BS,US-Bangla Airlines,BS104,DAC,DEL,False,1425.3,Boeing 787-8,2024-01-01T22:55:00,2024-01-01T22:56:00,2024-01-02T00:49:01.440000,2024-01-02T00:57:01.440000,1.0,8.0,None,False,Economy,165,0.47
21,2024-01-01,BS,US-Bangla Airlines,BS849,DAC,BKK,False,1567.8,Airbus A320,2024-01-01T15:55:00,2024-01-01T17:40:00,2024-01-01T18:00:25.440000,2024-01-01T19:30:25.440000,105.0,90.0,Air Traffic Control,False,Economy,304,0.87
22,2024-01-01,QR,Qatar Airways,QR414,CCU,DAC,False,239.2,ATR 72-600,2024-01-01T17:25:00,2024-01-01T17:25:00,2024-01-01T17:55:00,2024-01-01T17:55:00,0.0,0.0,None,False,Economy,181,0.52
23,2024-01-01,BS,US-Bangla Airlines,BS935,DAC,SIN,False,2896.7,Boeing 777-300ER,2024-01-01T05:15:00,2024-01-01T05:45:00,2024-01-01T09:06:44.160000,2024-01-01T09:17:44.160000,30.0,11.0,Weather,False,Economy,122,0.35
24,2024-01-01,2A,Air Astra,2A984,ZYL,DAC,True,194.0,Boeing 737-800,2024-01-01T15:40:00,2024-01-01T16:10:00,2024-01-01T16:10:00,2024-01-01T16:41:00,30.0,31.0,Late Aircraft,False,Economy,94,0.47
25,2024-01-01,BG,Biman Bangladesh Airlines,BG490,DAC,SIN,False,2896.7,Bombardier Dash 8-Q400,2024-01-01T12:45:00,2024-01-01T13:26:00,2024-01-01T16:36:44.160000,2024-01-01T17:14:44.160000,41.0,38.0,Carrier (Operations),False,Economy,216,0.62
26,2024-01-01,VQ,NovoAir,VQ391,DAC,ZYL,True,194.0,ATR 72-600,2024-01-01T15:50:00,2024-01-01T15:52:00,2024-01-01T16:20:00,2024-01-01T16:20:00,2.0,0.0,None,False,Economy,106,0.53
27,2024-01-01,BG,Biman Bangladesh Airlines,BG878,DAC,DXB,False,3536.8,Airbus A320,2024-01-01T05:20:00,2024-01-01T05:25:00,2024-01-01T10:02:56.640000,2024-01-01T10:02:56.640000,5.0,0.0,None,False,Economy,268,0.77
28,2024-01-01,BG,Biman Bangladesh Airlines,BG761,BZL,DAC,True,116.3,ATR 72-600,2024-01-01T22:20:00,2024-01-01T22:26:00,2024-01-01T22:50:00,2024-01-01T23:01:00,6.0,11.0,None,False,Business,122,0.61
29,2024-01-01,VQ,NovoAir,VQ877,RJH,DAC,True,192.5,Airbus A320,2024-01-01T14:10:00,2024-01-01T14:10:00,2024-01-01T14:40:00,2024-01-01T14:44:00,0.0,4.0,None,False,Economy,178,0.89
30,2024-01-01,BG,Biman Bangladesh Airlines,BG246,RJH,DAC,True,192.5,Boeing 737-800,2024-01-01T20:10:00,2024-01-01T20:17:00,2024-01-01T20:40:00,2024-01-01T20:40:00,7.0,0.0,None,False,Economy,146,0.73
31,2024-01-01,BS,US-Bangla Airlines,BS593,CGP,CXB,True,90.0,ATR 72-600,2024-01-01T08:45:00,2024-01-01T08:45:00,2024-01-01T09:15:00,2024-01-01T09:15:00,0.0,0.0,None,False,Economy,84,0.42
32,2024-01-01,BG,Biman Bangladesh Airlines,BG110,DAC,SIN,False,2896.7,Airbus A320,2024-01-01T08:00:00,2024-01-01T08:04:00,2024-01-01T11:51:44.160000,2024-01-01T11:51:44.160000,4.0,0.0,None,False,Premium Economy,269,0.77
33,2024-01-01,VQ,NovoAir,VQ328,DAC,CCU,False,239.2,Airbus A320,2024-01-01T16:55:00,,2024-01-01T17:25:00,,,,Weather,True,Economy,306,0.87
34,2024-01-01,BS,US-Bangla Airlines,BS881,ZYL,DAC,True,194.0,Bombardier Dash 8-Q400,2024-01-01T19:20:00,2024-01-01T19:24:00,2024-01-01T19:50:00,2024-01-01T19:50:00,4.0,0.0,None,False,Economy,154,0.77
35,2024-01-01,MH,Malaysia Airlines,MH993,DAC,BKK,False,1567.8,ATR 72-600,2024-01-01T06:30:00,2024-01-01T06:50:00,2024-01-01T08:35:25.440000,2024-01-01T08:57:25.440000,20.0,22.0,Weather,False,Economy,165,0.47
36,2024-01-01,TG,Thai Airways,TG904,DAC,CCU,False,239.2,Boeing 737-800,2024-01-01T09:50:00,2024-01-01T09:51:00,2024-01-01T10:20:00,2024-01-01T10:21:00,1.0,1.0,None,False,Business,272,0.78
37,2024-01-01,AI,Air India,AI589,CCU,DAC,False,239.2,Boeing 737-800,2024-01-01T07:05:00,2024-01-01T07:10:00,2024-01-01T07:35:00,2024-01-01T07:35:00,5.0,0.0,None,False,Economy,244,0.7
38,2024-01-01,BS,US-Bangla Airlines,BS787,DAC,BZL,True,116.3,Boeing 777-300ER,2024-01-01T17:55:00,2024-01-01T18:43:00,2024-01-01T18:25:00,2024-01-01T19:22:00,48.0,57.0,Carrier (Operations),False,Economy,157,0.79
39,2024-01-01,VQ,NovoAir,VQ771,SPD,DAC,True,260.9,Boeing 787-8,2024-01-01T15:20:00,2024-01-01T15:23:00,2024-01-01T15:50:00,2024-01-01T15:52:00,3.0,2.0,None,False,Economy,98,0.49
40,2024-01-01,BS,US-Bangla Airlines,BS985,DAC,SPD,True,260.9,Airbus A320,2024-01-01T05:25:00,2024-01-01T05:28:00,2024-01-01T05:55:00,2024-01-01T05:56:00,3.0,1.0,None,False,Economy,70,0.35
41,2024-01-01,2A,Air Astra,2A120,CXB,CGP,True,90.0,Boeing 737-800,2024-01-01T19:20:00,2024-01-01T19:20:00,2024-01-01T19:50:00,2024-01-01T19:54:00,0.0,4.0,None,False,Economy,120,0.6
42,2024-01-01,BS,US-Bangla Airlines,BS372,RJH,DAC,True,192.5,Boeing 787-8,2024-01-01T16:15:00,2024-01-01T16:16:00,2024-01-01T16:45:00,2024-01-01T16:45:00,1.0,0.0,None,False,Economy,176,0.88
43,2024-01-01,VQ,NovoAir,VQ185,DAC,CXB,True,310.7,ATR 72-600,2024-01-01T05:45:00,2024-01-01T05:46:00,2024-01-01T06:15:00,2024-01-01T06:15:00,1.0,0.0,None,False,Business,89,0.45
44,2024-01-01,MH,Malaysia Airlines,MH350,DAC,DEL,False,1425.3,Boeing 737-800,2024-01-01T11:50:00,2024-01-01T11:50:00,2024-01-01T13:44:01.440000,2024-01-01T13:44:01.440000,0.0,0.0,None,False,Economy,160,0.46
45,2024-01-01,QR,Qatar Airways,QR134,DAC,CCU,False,239.2,Boeing 737-800,2024-01-01T19:00:00,2024-01-01T19:07:00,2024-01-01T19:30:00,2024-01-01T19:30:00,7.0,0.0,None,False,Business,156,0.45
46,2024-01-01,BG,Biman Bangladesh Airlines,BG619,DAC,BZL,True,116.3,Boeing 787-8,2024-01-01T08:30:00,2024-01-01T08:34:00,2024-01-01T09:00:00,2024-01-01T09:00:00,4.0,0.0,None,False,Economy,100,0.5
47,2024-01-01,SQ,Singapore Airlines,SQ943,KUL,DAC,False,2642.3,Boeing 737-800,2024-01-01T13:00:00,2024-01-01T13:03:00,2024-01-01T16:31:23.040000,2024-01-01T16:31:23.040000,3.0,0.0,None,False,Economy,294,0.84
