origin,destination,domestic,distance_km
DAC,CGP,TRUE,228.9
CGP,DAC,TRUE,228.9
DAC,ZYL,TRUE,194
ZYL,DAC,TRUE,194
DAC,CXB,TRUE,310.7
CXB,DAC,TRUE,310.7
DAC,JSR,TRUE,145.9
JSR,DAC,TRUE,145.9
DAC,RJH,TRUE,192.5
RJH,DAC,TRUE,192.5
DAC,SPD,TRUE,260.9
SPD,DAC,TRUE,260.9
DAC,BZL,TRUE,116.3
BZL,DAC,TRUE,116.3
CGP,CXB,TRUE,90
CXB,CGP,TRUE,90
DAC,SIN,FALSE,2896.7
SIN,DAC,FALSE,2896.7
DAC,DXB,FALSE,3536.8
DXB,DAC,FALSE,3536.8
DAC,DOH,FALSE,3912.7
DOH,DAC,FALSE,3912.7
DAC,BKK,FALSE,1567.8
BKK,DAC,FALSE,1567.8
DAC,KUL,FALSE,2642.3
KUL,DAC,FALSE,2642.3
DAC,CCU,FALSE,239.2
CCU,DAC,FALSE,239.2
DAC,DEL,FALSE,1425.3
DEL,DAC,FALSE,1425.3
